GAME_DATE_EST,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,PTS_home,PTS_away,HOME_TEAM_WINS
2022-12-22,1610612740,1610612759,2022,126.0,117.0,1
2022-12-22,1610612762,1610612764,2022,120.0,112.0,1
2022-12-21,1610612739,1610612749,2022,114.0,106.0,1
2022-12-21,1610612755,1610612765,2022,113.0,93.0,1
2022-12-21,1610612737,1610612741,2022,108.0,110.0,0
2022-12-21,1610612738,1610612754,2022,112.0,117.0,0
2022-12-21,1610612751,1610612744,2022,143.0,113.0,1
2022-12-21,1610612752,1610612761,2022,106.0,113.0,0
2022-12-21,1610612745,1610612753,2022,110.0,116.0,0
2022-12-21,1610612750,1610612742,2022,99.0,104.0,0
2022-12-21,1610612760,1610612757,2022,101.0,98.0,1
2022-12-21,1610612758,1610612747,2022,134.0,120.0,1
2022-12-21,1610612746,1610612766,2022,126.0,105.0,1
2022-12-20,1610612765,1610612762,2022,111.0,126.0,0
2022-12-20,1610612748,1610612741,2022,103.0,113.0,0
2022-12-20,1610612752,1610612744,2022,132.0,94.0,1
2022-12-20,1610612756,1610612764,2022,110.0,113.0,0
2022-12-20,1610612743,1610612763,2022,105.0,91.0,1
2022-12-19,1610612739,1610612762,2022,122.0,99.0,1
2022-12-19,1610612755,1610612761,2022,104.0,101.0,1
2022-12-19,1610612737,1610612753,2022,126.0,125.0,1
2022-12-19,1610612745,1610612759,2022,105.0,124.0,0
2022-12-19,1610612750,1610612742,2022,116.0,106.0,1
2022-12-19,1610612740,1610612749,2022,119.0,128.0,0
2022-12-19,1610612760,1610612757,2022,123.0,121.0,1
2022-12-19,1610612756,1610612747,2022,130.0,104.0,1
2022-12-19,1610612758,1610612766,2022,119.0,125.0,0
2022-12-18,1610612738,1610612753,2022,92.0,95.0,0
2022-12-18,1610612754,1610612752,2022,106.0,109.0,0
2022-12-18,1610612765,1610612751,2022,121.0,124.0,0
2022-12-18,1610612761,1610612744,2022,110.0,126.0,0
2022-12-18,1610612750,1610612741,2022,150.0,126.0,1
2022-12-18,1610612743,1610612766,2022,119.0,115.0,1
2022-12-18,1610612747,1610612764,2022,119.0,117.0,1
2022-12-17,1610612746,1610612764,2022,102.0,93.0,1
2022-12-17,1610612759,1610612748,2022,101.0,111.0,0
2022-12-17,1610612739,1610612742,2022,100.0,99.0,1
2022-12-17,1610612745,1610612757,2022,95.0,107.0,0
2022-12-17,1610612749,1610612762,2022,123.0,97.0,1
2022-12-17,1610612760,1610612763,2022,115.0,109.0,1
2022-12-17,1610612756,1610612740,2022,118.0,114.0,1
2022-12-16,1610612766,1610612737,2022,106.0,125.0,0
2022-12-16,1610612765,1610612758,2022,113.0,122.0,0
2022-12-16,1610612738,1610612753,2022,109.0,117.0,0
2022-12-16,1610612739,1610612754,2022,118.0,112.0,1
2022-12-16,1610612755,1610612744,2022,118.0,106.0,1
2022-12-16,1610612761,1610612751,2022,116.0,119.0,0
2022-12-16,1610612741,1610612752,2022,91.0,114.0,0
2022-12-16,1610612760,1610612750,2022,110.0,112.0,0
2022-12-16,1610612742,1610612757,2022,130.0,110.0,1
2022-12-16,1610612747,1610612743,2022,126.0,108.0,1
2022-12-15,1610612745,1610612748,2022,108.0,111.0,0
2022-12-15,1610612763,1610612749,2022,142.0,101.0,1
2022-12-15,1610612762,1610612740,2022,132.0,129.0,1
2022-12-15,1610612746,1610612756,2022,95.0,111.0,0
2022-12-14,1610612766,1610612765,2022,134.0,141.0,0
2022-12-14,1610612754,1610612744,2022,125.0,119.0,1
2022-12-14,1610612753,1610612737,2022,135.0,124.0,1
2022-12-14,1610612761,1610612758,2022,123.0,124.0,0
2022-12-14,1610612741,1610612752,2022,120.0,128.0,0
2022-12-14,1610612760,1610612748,2022,108.0,110.0,0
2022-12-14,1610612759,1610612757,2022,112.0,128.0,0
2022-12-14,1610612742,1610612739,2022,90.0,105.0,0
2022-12-14,1610612743,1610612764,2022,141.0,128.0,1
2022-12-14,1610612746,1610612750,2022,99.0,88.0,1
2022-12-13,1610612755,1610612758,2022,123.0,103.0,1
2022-12-13,1610612749,1610612744,2022,128.0,111.0,1
2022-12-13,1610612745,1610612756,2022,111.0,97.0,1
2022-12-13,1610612762,1610612740,2022,121.0,100.0,1
2022-12-13,1610612747,1610612738,2022,118.0,122.0,0
2022-12-12,1610612754,1610612748,2022,82.0,87.0,0
2022-12-12,1610612764,1610612751,2022,100.0,112.0,0
2022-12-12,1610612763,1610612737,2022,128.0,103.0,1
2022-12-12,1610612742,1610612760,2022,121.0,114.0,1
2022-12-12,1610612759,1610612739,2022,112.0,111.0,1
2022-12-12,1610612757,1610612750,2022,133.0,112.0,1
2022-12-12,1610612746,1610612738,2022,113.0,93.0,1
2022-12-11,1610612740,1610612756,2022,129.0,124.0,1
2022-12-11,1610612765,1610612747,2022,117.0,124.0,0
2022-12-11,1610612752,1610612758,2022,112.0,99.0,1
2022-12-11,1610612753,1610612761,2022,111.0,99.0,1
2022-12-11,1610612755,1610612766,2022,131.0,113.0,1
2022-12-11,1610612737,1610612741,2022,123.0,122.0,1
2022-12-11,1610612745,1610612749,2022,97.0,92.0,1
2022-12-10,1610612748,1610612759,2022,111.0,115.0,0
2022-12-10,1610612754,1610612751,2022,133.0,136.0,0
2022-12-10,1610612764,1610612746,2022,107.0,114.0,0
2022-12-10,1610612739,1610612760,2022,110.0,102.0,1
2022-12-10,1610612741,1610612742,2022,144.0,115.0,1
2022-12-10,1610612744,1610612738,2022,123.0,107.0,1
2022-12-10,1610612743,1610612762,2022,115.0,110.0,1
2022-12-10,1610612757,1610612750,2022,124.0,118.0,1
2022-12-09,1610612766,1610612752,2022,102.0,121.0,0
2022-12-09,1610612754,1610612764,2022,121.0,111.0,1
2022-12-09,1610612753,1610612761,2022,113.0,109.0,1
2022-12-09,1610612751,1610612737,2022,120.0,116.0,1
2022-12-09,1610612739,1610612758,2022,95.0,106.0,0
2022-12-09,1610612755,1610612747,2022,133.0,122.0,1
2022-12-09,1610612763,1610612765,2022,114.0,103.0,1
2022-12-09,1610612740,1610612756,2022,128.0,117.0,1
2022-12-09,1610612762,1610612750,2022,108.0,118.0,0
2022-12-09,1610612742,1610612749,2022,105.0,106.0,0
2022-12-08,1610612748,1610612746,2022,115.0,110.0,1
2022-12-08,1610612759,1610612745,2022,118.0,109.0,1
2022-12-08,1610612757,1610612743,2022,120.0,121.0,0
2022-12-07,1610612753,1610612746,2022,116.0,111.0,1
2022-12-07,1610612751,1610612766,2022,122.0,116.0,1
2022-12-07,1610612752,1610612737,2022,113.0,89.0,1
2022-12-07,1610612761,1610612747,2022,126.0,113.0,1
2022-12-07,1610612741,1610612764,2022,115.0,111.0,1
2022-12-07,1610612763,1610612760,2022,123.0,102.0,1
2022-12-07,1610612749,1610612758,2022,126.0,113.0,1
2022-12-07,1610612750,1610612754,2022,121.0,115.0,1
2022-12-07,1610612740,1610612765,2022,104.0,98.0,1
2022-12-07,1610612762,1610612744,2022,124.0,123.0,1
2022-12-07,1610612756,1610612738,2022,98.0,125.0,0
2022-12-06,1610612739,1610612747,2022,116.0,102.0,1
2022-12-06,1610612748,1610612765,2022,96.0,116.0,0
2022-12-06,1610612743,1610612742,2022,115.0,116.0,0
2022-12-05,1610612766,1610612746,2022,117.0,119.0,0
2022-12-05,1610612753,1610612749,2022,102.0,109.0,0
2022-12-05,1610612737,1610612760,2022,114.0,121.0,0
2022-12-05,1610612761,1610612738,2022,110.0,116.0,0
2022-12-05,1610612745,1610612755,2022,132.0,123.0,1
2022-12-05,1610612763,1610612748,2022,101.0,93.0,1
2022-12-05,1610612742,1610612756,2022,130.0,111.0,1
2022-12-05,1610612744,1610612754,2022,104.0,112.0,0
2022-12-04,1610612740,1610612743,2022,121.0,106.0,1
2022-12-04,1610612759,1610612756,2022,95.0,133.0,0
2022-12-04,1610612751,1610612738,2022,92.0,103.0,0
2022-12-04,1610612765,1610612763,2022,112.0,122.0,0
2022-12-04,1610612752,1610612739,2022,92.0,81.0,1
2022-12-04,1610612764,1610612747,2022,119.0,130.0,0
2022-12-04,1610612758,1610612741,2022,110.0,101.0,1
2022-12-04,1610612757,1610612754,2022,116.0,100.0,1
2022-12-03,1610612752,1610612742,2022,100.0,121.0,0
2022-12-03,1610612746,1610612758,2022,96.0,123.0,0
2022-12-03,1610612766,1610612749,2022,96.0,105.0,0
2022-12-03,1610612761,1610612753,2022,121.0,108.0,1
2022-12-03,1610612750,1610612760,2022,128.0,135.0,0
2022-12-03,1610612744,1610612745,2022,120.0,101.0,1
2022-12-03,1610612762,1610612757,2022,111.0,116.0,0
2022-12-02,1610612766,1610612764,2022,117.0,116.0,1
2022-12-02,1610612737,1610612743,2022,117.0,109.0,1
2022-12-02,1610612738,1610612748,2022,116.0,120.0,0
2022-12-02,1610612751,1610612761,2022,114.0,105.0,1
2022-12-02,1610612739,1610612753,2022,107.0,96.0,1
2022-12-02,1610612749,1610612747,2022,129.0,133.0,0
2022-12-02,1610612763,1610612755,2022,117.0,109.0,1
2022-12-02,1610612759,1610612740,2022,99.0,117.0,0
2022-12-02,1610612756,1610612745,2022,121.0,122.0,0
2022-12-02,1610612762,1610612754,2022,139.0,119.0,1
2022-12-02,1610612744,1610612741,2022,119.0,111.0,1
2022-12-01,1610612765,1610612742,2022,131.0,125.0,1
2022-11-30,1610612739,1610612755,2022,113.0,85.0,1
2022-11-30,1610612753,1610612737,2022,108.0,125.0,0
2022-11-30,1610612738,1610612748,2022,134.0,121.0,1
2022-11-30,1610612751,1610612764,2022,113.0,107.0,1
2022-11-30,1610612752,1610612749,2022,103.0,109.0,0
2022-11-30,1610612750,1610612763,2022,109.0,101.0,1
2022-11-30,1610612740,1610612761,2022,126.0,108.0,1
2022-11-30,1610612760,1610612759,2022,119.0,111.0,1
2022-11-30,1610612743,1610612745,2022,120.0,100.0,1
2022-11-30,1610612756,1610612741,2022,132.0,113.0,1
2022-11-30,1610612762,1610612746,2022,125.0,112.0,1
2022-11-30,1610612758,1610612754,2022,137.0,114.0,1
2022-11-30,1610612747,1610612757,2022,128.0,109.0,1
2022-11-29,1610612765,1610612752,2022,110.0,140.0,0
2022-11-29,1610612742,1610612744,2022,116.0,113.0,1
2022-11-29,1610612757,1610612746,2022,112.0,118.0,0
2022-11-28,1610612755,1610612737,2022,104.0,101.0,1
2022-11-28,1610612764,1610612750,2022,142.0,127.0,1
2022-11-28,1610612738,1610612766,2022,140.0,105.0,1
2022-11-28,1610612751,1610612753,2022,109.0,102.0,1
2022-11-28,1610612761,1610612739,2022,100.0,88.0,1
2022-11-28,1610612740,1610612760,2022,105.0,101.0,1
2022-11-28,1610612743,1610612745,2022,129.0,113.0,1
2022-11-28,1610612762,1610612741,2022,107.0,114.0,0
2022-11-28,1610612758,1610612756,2022,117.0,122.0,0
2022-11-28,1610612747,1610612754,2022,115.0,116.0,0
2022-11-27,1610612751,1610612757,2022,111.0,97.0,1
2022-11-27,1610612750,1610612744,2022,114.0,137.0,0
2022-11-27,1610612746,1610612754,2022,114.0,100.0,1
2022-11-27,1610612737,1610612748,2022,98.0,106.0,0
2022-11-27,1610612738,1610612764,2022,130.0,121.0,1
2022-11-27,1610612765,1610612739,2022,94.0,102.0,0
2022-11-27,1610612752,1610612763,2022,123.0,127.0,0
2022-11-27,1610612753,1610612755,2022,103.0,133.0,0
2022-11-27,1610612749,1610612742,2022,124.0,115.0,1
2022-11-26,1610612761,1610612742,2022,105.0,100.0,1
2022-11-26,1610612745,1610612760,2022,118.0,105.0,1
2022-11-26,1610612759,1610612747,2022,138.0,143.0,0
2022-11-26,1610612756,1610612762,2022,113.0,112.0,1
2022-11-25,1610612766,1610612750,2022,110.0,108.0,1
2022-11-25,1610612753,1610612755,2022,99.0,107.0,0
2022-11-25,1610612752,1610612757,2022,129.0,132.0,0
2022-11-25,1610612738,1610612758,2022,122.0,104.0,1
2022-11-25,1610612754,1610612751,2022,128.0,117.0,1
2022-11-25,1610612748,1610612764,2022,110.0,107.0,1
2022-11-25,1610612745,1610612737,2022,128.0,122.0,1
2022-11-25,1610612763,1610612740,2022,132.0,111.0,1
2022-11-25,1610612749,1610612739,2022,117.0,102.0,1
2022-11-25,1610612760,1610612741,2022,123.0,119.0,1
2022-11-25,1610612759,1610612747,2022,94.0,105.0,0
2022-11-25,1610612756,1610612765,2022,108.0,102.0,1
2022-11-25,1610612744,1610612762,2022,129.0,118.0,1
2022-11-25,1610612746,1610612743,2022,104.0,114.0,0
2022-11-23,1610612766,1610612755,2022,107.0,101.0,1
2022-11-23,1610612739,1610612757,2022,114.0,96.0,1
2022-11-23,1610612754,1610612750,2022,101.0,115.0,0
2022-11-23,1610612737,1610612758,2022,115.0,106.0,1
2022-11-23,1610612738,1610612742,2022,125.0,112.0,1
2022-11-23,1610612748,1610612764,2022,113.0,105.0,1
2022-11-23,1610612761,1610612751,2022,98.0,112.0,0
2022-11-23,1610612749,1610612741,2022,113.0,118.0,0
2022-11-23,1610612760,1610612743,2022,126.0,131.0,0
2022-11-23,1610612759,1610612740,2022,110.0,129.0,0
2022-11-23,1610612762,1610612765,2022,116.0,125.0,0
2022-11-23,1610612744,1610612746,2022,124.0,107.0,1
2022-11-22,1610612755,1610612751,2022,115.0,106.0,1
2022-11-22,1610612763,1610612758,2022,109.0,113.0,0
2022-11-22,1610612743,1610612765,2022,108.0,110.0,0
2022-11-22,1610612756,1610612747,2022,115.0,105.0,1
2022-11-21,1610612739,1610612737,2022,114.0,102.0,1
2022-11-21,1610612754,1610612753,2022,123.0,102.0,1
2022-11-21,1610612741,1610612738,2022,121.0,107.0,1
2022-11-21,1610612749,1610612757,2022,119.0,111.0,1
2022-11-21,1610612750,1610612748,2022,105.0,101.0,1
2022-11-21,1610612740,1610612744,2022,128.0,83.0,1
2022-11-21,1610612760,1610612752,2022,119.0,129.0,0
2022-11-21,1610612746,1610612762,2022,121.0,114.0,1
2022-11-20,1610612756,1610612752,2022,116.0,95.0,1
2022-11-20,1610612764,1610612766,2022,106.0,102.0,1
2022-11-20,1610612758,1610612765,2022,137.0,129.0,1
2022-11-20,1610612751,1610612763,2022,127.0,115.0,1
2022-11-20,1610612739,1610612748,2022,113.0,87.0,1
2022-11-20,1610612745,1610612744,2022,120.0,127.0,0
2022-11-20,1610612742,1610612743,2022,97.0,98.0,0
2022-11-20,1610612747,1610612759,2022,123.0,92.0,1
2022-11-19,1610612737,1610612761,2022,124.0,122.0,1
2022-11-19,1610612755,1610612750,2022,109.0,112.0,0
2022-11-19,1610612757,1610612762,2022,113.0,118.0,0
2022-11-19,1610612746,1610612759,2022,119.0,97.0,1
2022-11-18,1610612764,1610612748,2022,107.0,106.0,1
2022-11-18,1610612739,1610612766,2022,132.0,122.0,1
2022-11-18,1610612755,1610612749,2022,110.0,102.0,1
2022-11-18,1610612741,1610612753,2022,107.0,108.0,0
2022-11-18,1610612745,1610612754,2022,91.0,99.0,0
2022-11-18,1610612763,1610612760,2022,121.0,110.0,1
2022-11-18,1610612742,1610612743,2022,127.0,99.0,1
2022-11-18,1610612740,1610612738,2022,109.0,117.0,0
2022-11-18,1610612762,1610612756,2022,134.0,133.0,1
2022-11-18,1610612744,1610612752,2022,111.0,101.0,1
2022-11-18,1610612747,1610612765,2022,128.0,121.0,1
2022-11-17,1610612757,1610612751,2022,107.0,109.0,0
2022-11-17,1610612758,1610612759,2022,130.0,112.0,1
2022-11-17,1610612746,1610612765,2022,96.0,91.0,1
2022-11-16,1610612766,1610612754,2022,113.0,125.0,0
2022-11-16,1610612753,1610612750,2022,108.0,126.0,0
2022-11-16,1610612764,1610612760,2022,120.0,121.0,0
2022-11-16,1610612737,1610612738,2022,101.0,126.0,0
2022-11-16,1610612761,1610612748,2022,112.0,104.0,1
2022-11-16,1610612749,1610612739,2022,113.0,98.0,1
2022-11-16,1610612740,1610612741,2022,124.0,110.0,1
2022-11-16,1610612742,1610612745,2022,92.0,101.0,0
2022-11-16,1610612743,1610612752,2022,103.0,106.0,0
2022-11-16,1610612756,1610612744,2022,130.0,119.0,1
2022-11-15,1610612740,1610612763,2022,113.0,102.0,1
2022-11-15,1610612742,1610612746,2022,103.0,101.0,1
2022-11-15,1610612762,1610612752,2022,111.0,118.0,0
2022-11-15,1610612757,1610612759,2022,117.0,110.0,1
2022-11-15,1610612758,1610612751,2022,153.0,121.0,1
2022-11-14,1610612765,1610612761,2022,111.0,115.0,0
2022-11-14,1610612753,1610612766,2022,105.0,112.0,0
2022-11-14,1610612738,1610612760,2022,126.0,122.0,1
2022-11-14,1610612748,1610612756,2022,113.0,112.0,1
2022-11-14,1610612745,1610612746,2022,106.0,122.0,0
2022-11-14,1610612749,1610612737,2022,106.0,121.0,0
2022-11-14,1610612744,1610612759,2022,132.0,95.0,1
2022-11-13,1610612752,1610612760,2022,135.0,145.0,0
2022-11-13,1610612739,1610612750,2022,124.0,129.0,0
2022-11-13,1610612764,1610612763,2022,102.0,92.0,1
2022-11-13,1610612755,1610612762,2022,105.0,98.0,1
2022-11-13,1610612741,1610612743,2022,103.0,126.0,0
2022-11-13,1610612758,1610612744,2022,122.0,115.0,1
2022-11-13,1610612747,1610612751,2022,116.0,103.0,1
2022-11-12,1610612746,1610612751,2022,95.0,110.0,0
2022-11-12,1610612764,1610612762,2022,121.0,112.0,1
2022-11-12,1610612765,1610612738,2022,108.0,117.0,0
2022-11-12,1610612754,1610612761,2022,118.0,104.0,1
2022-11-12,1610612755,1610612737,2022,121.0,109.0,1
2022-11-12,1610612748,1610612766,2022,132.0,115.0,1
2022-11-12,1610612742,1610612757,2022,117.0,112.0,1
2022-11-12,1610612740,1610612745,2022,119.0,106.0,1
2022-11-11,1610612738,1610612743,2022,131.0,112.0,1
2022-11-11,1610612753,1610612756,2022,114.0,97.0,1
2022-11-11,1610612752,1610612765,2022,121.0,112.0,1
2022-11-11,1610612760,1610612761,2022,132.0,113.0,1
2022-11-11,1610612759,1610612749,2022,111.0,93.0,1
2022-11-11,1610612763,1610612750,2022,114.0,103.0,1
2022-11-11,1610612744,1610612739,2022,106.0,101.0,1
2022-11-11,1610612747,1610612758,2022,114.0,120.0,0
