TEAM_ID,ABBREVIATION,NICKNAME,CITY
1610612737,ATL,Hawks,Atlanta
1610612738,BOS,Celtics,Boston
1610612740,NOP,Pelicans,New Orleans
1610612741,CHI,Bulls,Chicago
1610612742,DAL,Mavericks,Dallas
1610612743,DEN,Nuggets,Denver
1610612745,HOU,Rockets,Houston
1610612746,LAC,Clippers,Los Angeles
1610612747,LAL,Lakers,Los Angeles
1610612748,MIA,Heat,Miami
1610612749,MIL,Bucks,Milwaukee
1610612750,MIN,Timberwolves,Minnesota
1610612751,BKN,Nets,Brooklyn
1610612752,NYK,Knicks,New York
1610612753,ORL,Magic,Orlando
1610612754,IND,Pacers,Indiana
1610612755,PHI,76ers,Philadelphia
1610612756,PHX,Suns,Phoenix
1610612757,POR,Trail Blazers,Portland
1610612758,SAC,Kings,Sacramento
1610612759,SAS,Spurs,San Antonio
1610612760,OKC,Thunder,Oklahoma City
1610612761,TOR,Raptors,Toronto
1610612762,UTA,Jazz,Utah
1610612763,MEM,Grizzlies,Memphis
1610612764,WAS,Wizards,Washington
1610612765,DET,Pistons,Detroit
1610612766,CHA,Hornets,Charlotte
1610612739,CLE,Cavaliers,Cleveland
1610612744,GSW,Warriors,Golden State
